"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 01 23:34:43 GMT 2025","Sat Nov 01 23:34:44 GMT 2025","191","tests.Professional","test_DR_US_04_PATCH_professional","","","","DR-TC109: Verificar que no se pueda actualizar un profesional con personal_email con un valor vacio",""
"passed","Sat Nov 01 23:35:13 GMT 2025","Sat Nov 01 23:35:13 GMT 2025","210","tests.Professional","test_DR_US_04_PATCH_professional","","","","DR-TC152: Verificar que no se pueda actualizar un profesional con date_of_birth con formato inválido aaaa/dd/mm",""
"passed","Sat Nov 01 23:33:52 GMT 2025","Sat Nov 01 23:33:53 GMT 2025","1062","tests.Professional","test_DR_US_02_POST_professional","","","","DR-TC65: Verificar que se puede registrar un profesional con country Bolivia",""
"passed","Sat Nov 01 23:31:05 GMT 2025","Sat Nov 01 23:31:07 GMT 2025","1764","tests.Patient","test_DR_US_06_POST_patient","","","","DR-TC206: Verificar rechazo en la creación de paciente con mother_name excediendo longitud máxima",""
"passed","Sat Nov 01 23:31:34 GMT 2025","Sat Nov 01 23:31:34 GMT 2025","228","tests.Patient","test_DR_US_08_PATCH_patient","","","","DR-TC238: Verificar actualización exitosa de un paciente modificando solo el campo mother_name",""
"passed","Sat Nov 01 23:33:00 GMT 2025","Sat Nov 01 23:33:00 GMT 2025","232","tests.Patient","test_DR_US_08_PATCH_patient","","","","DR-TC301: Verificar rechazo en actualizar un paciente con dni excediendo longitud máxima",""
"passed","Sat Nov 01 23:31:26 GMT 2025","Sat Nov 01 23:31:27 GMT 2025","158","tests.Patient","test_DR_US_07_GET_patient","","","","DR-TC233: Verificar fallo en obtención de lista de pacientes con método HTTP incorrecto DELETE",""
"skipped","Sat Nov 01 23:30:49 GMT 2025","Sat Nov 01 23:30:49 GMT 2025","1","tests.Patient","test_DR_US_06_POST_patient","","","","DR-TC189: Verificar que no se complete el registro de un paciente con solo caracteres especiales en mother_name",""
"skipped","Sat Nov 01 23:33:31 GMT 2025","Sat Nov 01 23:33:31 GMT 2025","0","tests.Professional","test_DR_US_02_POST_professional","","","","DR-TC57: Verificar que no se complete el registro de un profesional con solo caracteres especiales en specialty",""
"passed","Sat Nov 01 23:35:36 GMT 2025","Sat Nov 01 23:35:36 GMT 2025","219","tests.Professional","test_DR_US_04_PATCH_professional","","","","DR-TC144: Verificar rechazo en actualizar un profesional con specialty excediendo longitud máxima",""
"passed","Sat Nov 01 23:33:38 GMT 2025","Sat Nov 01 23:33:39 GMT 2025","1035","tests.Professional","test_DR_US_02_POST_professional","","","","DR-TC40: Verificar rechazo en la creación de profesional con city excediendo longitud máxima",""
"skipped","Sat Nov 01 23:33:31 GMT 2025","Sat Nov 01 23:33:31 GMT 2025","1","tests.Professional","test_DR_US_02_POST_professional","","","","DR-TC26: Verificar que no se complete el registro de un profesional con solo caracteres especiales en first_name",""
