"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","199","DR-TC265: Verificar que no se pueda actualizar un paciente con ref_number_1 con un valor vacio","tests.Patient","Mon Nov 10 20:49:48 UTC 2025","passed","Mon Nov 10 20:49:49 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","202","DR-TC112: Verificar que no se pueda actualizar un profesional con specialty con un valor vacio","tests.Professional","Mon Nov 10 20:52:28 UTC 2025","passed","Mon Nov 10 20:52:28 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","169","DR-TC319: Verificar registro fotográfico fallido sin photo_path","tests.Patient","Mon Nov 10 20:51:00 UTC 2025","passed","Mon Nov 10 20:51:00 UTC 2025","","test_DR_US_10_POST_patient_photographic_record","",""
"","0","DR-TC274: Verificar que no se pueda actualizar un paciente con sex con un valor de solo espacios","tests.Patient","Mon Nov 10 20:50:03 UTC 2025","skipped","Mon Nov 10 20:50:03 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","1826","DR-TC201: Verificar que no se registre un paciente con fissure_type inválido","tests.Patient","Mon Nov 10 20:48:30 UTC 2025","passed","Mon Nov 10 20:48:31 UTC 2025","","test_DR_US_06_POST_patient","",""
"","233","DR-TC137: Verificar rechazo en actualizar un profesional con city excediendo longitud máxima","tests.Professional","Mon Nov 10 20:53:07 UTC 2025","skipped","Mon Nov 10 20:53:07 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","0","DR-TC27: Verificar que no se complete el registro de un profesional con solo caracteres especiales en last_name","tests.Professional","Mon Nov 10 20:51:09 UTC 2025","skipped","Mon Nov 10 20:51:09 UTC 2025","","test_DR_US_02_POST_professional","",""
"","224","DR-TC302: Verificar rechazo en actualizar un paciente con ref_number_1 excediendo longitud máxima","tests.Patient","Mon Nov 10 20:50:38 UTC 2025","skipped","Mon Nov 10 20:50:39 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","0","DR-TC308: Verificar que no se pueda actualizar dni a un valor ya existente en otro paciente","tests.Patient","Mon Nov 10 20:50:51 UTC 2025","skipped","Mon Nov 10 20:50:51 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","0","DR-TC121: Verificar que no se pueda actualizar un profesional con sex con un valor de solo espacios","tests.Professional","Mon Nov 10 20:52:40 UTC 2025","skipped","Mon Nov 10 20:52:40 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","0","DR-TC155: Verificar que no se pueda actualizar un profesional con city con caracteres especiales","tests.Professional","Mon Nov 10 20:52:48 UTC 2025","skipped","Mon Nov 10 20:52:48 UTC 2025","","test_DR_US_04_PATCH_professional","",""
